cod1,x_coord,y_coord,site,,
8,573739,3878130,archeology,,
20,493143,3930300,archeology,,
21,466867,3929730,archeology,,
22,506772,3894560,archeology,,
23,479305,3931680,archeology,,
28,482192,3900190,archeology,,
29,461386,3929860,archeology,,
33,460735,3929600,archeology,,
39,570104,3876510,archeology,,
40,573294,3877750,archeology,,
41,624789,3873680,archeology,,
42,627855,3877020,archeology,,
43,627745,3876570,archeology,,
50,503747,3925870,archeology,,
52,502521,3929210,archeology,,
53,594738,3907270,archeology,,
54,592456,3918510,archeology,,
56,669195,3894920,archeology,,
58,673431,3895190,archeology,,
66,592410,3918550,archeology,,
79,480455,3899440,archeology,,
84,657824,3902710,archeology,,
88,669554,3894880,archeology,,
89,635313,3906740,archeology,,
93,655720,3886400,archeology,,
95,605874,3906690,archeology,,
99,482168,3900500,archeology,,
108,576689,3886680,archeology,,
110,558342,3901560,archeology,,
112,619253,3896920,archeology,,
113,624418,3896650,archeology,,
114,566635,3890750,archeology,,
115,560914,3898500,archeology,,
124,629179,3895620,archeology,,
125,630374,3892840,archeology,,
129,631635,3892200,archeology,,
131,633403,3895760,archeology,,
132,648026,3902410,archeology,,
137,627104,3897830,archeology,,
139,558081,3901750,archeology,,
144,594303,3889490,archeology,,
145,592630,3906370,archeology,,
150,497873,3922600,archeology,,
152,587052,3879890,archeology,,
155,590591,3895010,archeology,,
156,590890,3892380,archeology,,
164,640346,3884340,archeology,,
170,650589,3893920,archeology,,
171,690315,3888550,archeology,,
172,603970,3901530,archeology,,
173,605325,3900730,archeology,,
174,605390,3899600,archeology,,
178,605261,3906590,archeology,,
180,631662,3891720,archeology,,
63,"	635917",3906930,palace,"	35.293048","	25.492892"
69,705869,3885920,palace,"	35.098235",26.261361
90,635580,3906060,palace,35.293986,25.491026
127,631260,3892740,palace,35.17016,25.439191
177,605206,3906590,palace,"	35.297980","	25.163390"
64,609421,3909420,temple,,
65,609419,3910270,temple,,
75,562401,3883710,temple,,
80,480594,3899760,temple,,
154,586574,3879700,temple,,
160,635341,3879660,temple,,
175,605175,3906650,temple,,
179,605237,3906350,temple,,